User_id,time,action,destination,hotel
2.02E+18,0:12:42,Click,New York City,Wellington
2.02E+18,0:03:01,Homepage,,
2.02E+18,0:02:52,Homepage,,
2.02E+18,0:04:35,Click,Jersey,The Merton
2.02E+18,0:03:12,Search,Jersey,
2.02E+18,0:00:07,Click,Jersey,The Merton
2.02E+18,0:00:48,Click,Vic,La Torre Del Vilar
2.02E+18,0:02:10,Click,Vic,Parador de Vic-Sau
2.02E+18,0:02:50,Click,Vic,Hotel de La Gloria
2.02E+18,0:06:52,Click,Manlleu,Torres
2.02E+18,0:03:38,Click,Vic,Can Pamplona
2.02E+18,0:06:11,Click,Manlleu,Can Beliu
2.02E+18,0:00:09,Click,Vic,Mas Pratsevall
2.02E+18,0:22:09,Click,Gaienhofen,Trompeterschlössle
2.02E+18,0:21:36,Click,Gaienhofen,Hirschen
2.02E+18,0:00:09,Click,Lake Como,La Griglia
2.02E+18,0:02:55,Click,Arnsberg,Menge
2.02E+18,0:00:18,Click,Arnsberg,Zum Landsberger Hof
2.02E+18,0:02:16,Click,Arnsberg,Dorint Hotel & Sportresort Arnsberg Sauerland
2.02E+18,0:57:59,Homepage,,
2.02E+18,0:57:59,Homepage,,
2.02E+18,0:16:46,Search,Tenerife,
2.02E+18,0:57:58,Homepage,,
2.02E+18,0:59:47,Homepage,,
2.02E+18,0:00:10,Click,Marina di Ragusa,Aria di Mare
2.02E+18,0:16:47,Search,Tenerife,
2.02E+18,0:59:49,Homepage,,
2.02E+18,1:00:15,Click,Marina di Ragusa,Aria di Mare
2.02E+18,0:06:04,Click,Pula,Sfinga Verudela
2.02E+18,0:05:43,Click,Pula,Sfinga Verudela
2.02E+18,0:03:52,Click,Pula,Park Plaza Histria
2.02E+18,0:01:57,Click,Pula,Verudela Beach & Villa Resort by Arenaturist
2.02E+18,0:05:33,Click,Pula,Sfinga Verudela
2.02E+18,0:00:10,Search,Netherlands,
2.02E+18,0:01:05,Click,Netherlands,NH Den Haag
2.02E+18,0:00:17,Search,Netherlands,
2.02E+18,0:00:10,Click,Southport,The Vincent
2.02E+18,0:03:37,Click,Southport,Dukes Folly
2.02E+18,0:03:10,Click,Southport,Dukes Folly
2.02E+18,0:00:10,Homepage,,
2.02E+18,0:07:26,Click,Sedan,Campanile Sedan
2.02E+18,0:02:54,Click,Sedan,Campanile Sedan
2.02E+18,0:03:16,Click,Sedan,Inter-Hôtel Le Coeur D'Or
2.02E+18,0:02:16,Click,Sedan,Campanile Sedan
2.02E+18,0:04:39,Click,Sedan,Auberge Au Naturel Des Ardennes
2.02E+18,0:07:01,Click,Sedan,Auberge Au Naturel Des Ardennes
2.02E+18,0:00:15,Homepage,,
2.02E+18,0:01:20,Click,Schiphol,Royal
2.02E+18,0:00:12,Homepage,,
2.02E+18,0:03:33,Click,Schiphol,Best Western Hotel De Rustende Jager
2.02E+18,0:00:11,Homepage,,
2.02E+18,0:05:01,Click,Washington D.C.,Hyatt Place Washington DC US Capitol
2.02E+18,0:07:33,Click,Washington D.C.,Renaissance Washington DC Dupont Circle
2.02E+18,0:08:46,Click,Washington D.C.,State Plaza
2.02E+18,0:07:51,Click,Washington D.C.,Renaissance Washington DC Dupont Circle
2.02E+18,0:06:47,Click,Washington D.C.,Renaissance Washington DC Dupont Circle
2.02E+18,0:04:59,Click,Washington D.C.,Hyatt Place Washington DC US Capitol
2.02E+18,0:00:11,Click,Washington D.C.,Hyatt Place Washington DC US Capitol
2.02E+18,0:07:44,Click,Washington D.C.,Renaissance Washington DC Dupont Circle
2.02E+18,0:07:58,Click,Washington D.C.,Renaissance Washington DC Dupont Circle
2.02E+18,0:07:21,Click,Washington D.C.,Renaissance Washington DC Dupont Circle
2.02E+18,0:03:40,Click,Liverpool,Aachen
2.02E+18,0:04:17,Click,Liverpool,Epic Serviced
2.02E+18,0:00:32,Click,Liverpool,Thistle Atlantic Tower
2.02E+18,0:05:17,Click,Liverpool,Campanile Liverpool
2.02E+18,0:01:56,Click,Liverpool,The Liner
2.02E+18,0:00:21,Click,Lloret de Mar,Acapulco
2.02E+18,0:16:41,Click,Lloret de Mar,Apartamentos Santa Anna II
2.02E+18,0:03:47,Click,Lloret de Mar,Almirall
2.02E+18,0:14:57,Homepage,,
2.02E+18,0:17:55,Click,Lloret de Mar,Almirall
2.02E+18,0:14:55,Homepage,,
2.02E+18,0:05:04,Click,Ouistreham,Ibis Caen Herouville Savary
2.02E+18,0:00:17,Homepage,,
2.02E+18,0:00:12,Homepage,,
2.02E+18,0:01:32,Click,Zeeland,Grand Hotel Ter Duin
2.02E+18,0:01:57,Search,Zeeland,
2.02E+18,0:01:57,Homepage,,
2.02E+18,0:01:56,Search,Zeeland,
2.02E+18,0:00:17,Search,Zeeland,
2.02E+18,0:00:13,Search,Zeeland,
2.02E+18,0:00:46,Click,Czech Republic,Loucky
2.02E+18,0:00:13,Click,Czech Republic,Wellness Party
2.02E+18,0:01:47,Click,Cheb (Eger),Ma?ek
2.02E+18,0:02:58,Click,Cheb (Eger),Marika
2.02E+18,0:00:24,Click,Czech Republic,Loucky
2.02E+18,0:00:15,Search,North Wales,
2.02E+18,0:01:40,Search,North Wales,
2.02E+18,0:00:24,Search,North Wales,
2.02E+18,0:00:21,Search,North Wales,
2.02E+18,0:01:46,Search,North Wales,
2.02E+18,0:00:26,Search,North Wales,
2.02E+18,0:01:24,Click,North Wales,Britannia The Grand
2.02E+18,0:09:07,Click,Paris,Academie Saint Germain
2.02E+18,0:09:43,Click,Paris,des Tuileries Paris - Relais du Silence
2.02E+18,0:36:41,Click,Paris,Le Relais Saint Charles
2.02E+18,0:13:28,Click,Paris,Le Marquis Eiffel
2.02E+18,0:28:31,Click,Paris,Le Derby Alma
2.02E+18,0:00:19,Click,Paris,Alizé Grenelle
2.02E+18,0:34:02,Click,Paris,Le Derby Alma
2.02E+18,0:31:05,Click,Paris,Le Derby Alma
2.02E+18,0:12:59,Click,Paris,Le Marquis Eiffel
2.02E+18,0:32:59,Click,Paris,Le Derby Alma
2.02E+18,0:00:15,Click,Toledo,Santa Isabel
2.02E+18,0:05:20,Click,Toledo,Toledo Imperial
2.02E+18,0:01:10,Click,Toledo,Santa Isabel
2.02E+18,0:01:41,Click,Toledo,Domus Selecta Plaza Zocodover
2.02E+18,0:03:52,Click,Toledo,Casa de los Mozárabes
2.02E+18,0:00:59,Click,Toledo,Santa Isabel
2.02E+18,0:12:31,Click,Amsterdam,Tulip Inn Amsterdam Riverside
2.02E+18,0:02:47,Click,Amsterdam,The Student Amsterdam
2.02E+18,0:00:15,Search,England,
2.02E+18,0:03:51,Click,Amsterdam,Tulip Inn Amsterdam Riverside
2.02E+18,0:00:21,Search,England,
2.02E+18,0:06:17,Click,Cologne,CityClass Europa am Dom
2.02E+18,0:06:59,Click,Cologne,CityClass Europa am Dom
2.02E+18,0:16:23,Click,Cologne,CityClass Europa am Dom
2.02E+18,0:15:49,Click,Cologne,CityClass Europa am Dom
2.02E+18,0:03:17,Click,Cologne,Maritim Köln
2.02E+18,0:04:07,Click,Cologne,CityClass Europa am Dom
2.02E+18,0:02:34,Click,Cologne,Am Museum
2.02E+18,0:00:16,Click,Dublin,Ballsbridge
2.02E+18,0:04:40,Click,Dublin,Charleville Lodge
2.02E+18,0:00:44,Click,Dublin,Radisson Blu St Helen's
2.02E+18,0:01:35,Click,Dublin,Radisson Blu St Helen's
2.02E+18,0:02:48,Click,Dublin,The Pearse Hotel
2.02E+18,0:03:40,Click,Dublin,DoubleTree Dublin - Burlington Road
